Time (s),Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23
0.455,"209.208, 580.196, 1.5","309.196, 737.234, 1.5","505.484, 425.229, 1.5","275.358, 517.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.46,"194.208, 605.196, 1.5","294.196, 762.234, 1.5","490.484, 450.229, 1.5","260.358, 542.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.465,"179.208, 630.196, 1.5","279.196, 787.234, 1.5","475.484, 475.229, 1.5","245.358, 567.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.47,"164.208, 655.196, 1.5","264.196, 812.234, 1.5","460.484, 500.229, 1.5","230.358, 592.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.475,"149.208, 680.196, 1.5","249.196, 837.234, 1.5","445.484, 525.229, 1.5","215.358, 617.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.48,"134.208, 705.196, 1.5","234.196, 862.234, 1.5","430.484, 550.229, 1.5","200.358, 642.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.485,"119.208, 730.196, 1.5","219.196, 887.234, 1.5","415.484, 575.229, 1.5","185.358, 667.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.49,"104.208, 755.196, 1.5","204.196, 912.234, 1.5","400.484, 600.229, 1.5","170.358, 692.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.495,"104.208, 755.196, 1.5","204.196, 912.234, 1.5","400.484, 600.229, 1.5","170.358, 692.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
0.5,"104.208, 755.196, 1.5","204.196, 912.234, 1.5","400.484, 600.229, 1.5","170.358, 692.367, 1.5","200.5, 450.5, 1.5","230.5, 500.5, 1.5","600.5, 250.5, 1.5","610.5, 255.5, 1.5","450.5, 350.5, 1.5","600.5, 600.5, 1.5"
